

*******************************************************************************
Ephemeris / API_USER Sun Dec 19 15:26:25 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1950-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2004-Oct-04 00:00:00.0000 TDB
Step-size       : 144000 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000,  8.743506444527466E-04,  2.474772451080384E-03, -7.845597260258980E-05, -4.504734249523134E-06, -3.464846211811919E-06,  8.384081068859763E-08,
2433382.500000000, A.D. 1950-Apr-11 00:00:00.0000,  4.509105215260739E-04,  2.098279944120075E-03, -7.028146235298473E-05, -3.963073375830314E-06, -4.124872982869770E-06,  7.831957273549454E-08,
2433482.500000000, A.D. 1950-Jul-20 00:00:00.0000,  9.403975853873679E-05,  1.645762995812126E-03, -6.329933322078868E-05, -3.096117857814652E-06, -4.867042405632195E-06,  5.919272737824847E-08,
2433582.500000000, A.D. 1950-Oct-28 00:00:00.0000, -1.675987319930341E-04,  1.137028757819872E-03, -5.812227494533307E-05, -2.158223886506953E-06, -5.282866317868930E-06,  4.652152094523325E-08,
2433682.500000000, A.D. 1951-Feb-05 00:00:00.0000, -3.338136645793333E-04,  5.895416738534915E-04, -5.445947252257925E-05, -1.133769991784239E-06, -5.618404528206159E-06,  2.443698575891124E-08,
2433782.500000000, A.D. 1951-May-16 00:00:00.0000, -3.959902135997940E-04,  2.410772248949319E-05, -5.322041841025766E-05, -1.608269805827115E-07, -5.677191186656817E-06,  3.932755818286319E-09,
2433882.500000000, A.D. 1951-Aug-24 00:00:00.0000, -3.637204432519607E-04, -5.507454804583013E-04, -5.373371057493144E-05,  8.696341276280961E-07, -5.810676839245890E-06, -1.710219455186678E-08,
2433982.500000000, A.D. 1951-Dec-02 00:00:00.0000, -2.150450052442402E-04, -1.120800446413383E-03, -5.684169982759787E-05,  2.052618009476136E-06, -5.507448375275741E-06, -4.286484301246248E-08,
2434082.500000000, A.D. 1952-Mar-11 00:00:00.0000,  3.350434174545975E-05, -1.649036549379253E-03, -6.186021216554302E-05,  2.914085277059988E-06, -5.096557386853964E-06, -6.031487928880597E-08,
2434182.500000000, A.D. 1952-Jun-19 00:00:00.0000,  3.719369385390964E-04, -2.136689537426270E-03, -6.920384746711216E-05,  3.859237908120287E-06, -4.595857741408765E-06, -8.606264973801650E-08,
