

*******************************************************************************
Ephemeris / API_USER Fri Dec 17 03:22:24 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2001-Dec-01 00:00:00.0000 TDB
Step-size       : 7000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -7.139867342351965E-03, -2.792293024590130E-03,  2.063456515496323E-04,  5.374261984736907E-06, -7.410968933449047E-06, -9.423856739196385E-08,
2451544.600000000, A.D. 2000-Jan-01 02:24:00.0000, -7.139329874152917E-03, -2.793034080924201E-03,  2.063362266509702E-04,  5.375101969773270E-06, -7.410157797222117E-06, -9.425940852320506E-08,
2451544.700000000, A.D. 2000-Jan-01 04:48:00.0000, -7.138792321963284E-03, -2.793775056159427E-03,  2.063267996673913E-04,  5.375941796626574E-06, -7.409346956573558E-06, -9.428026573883509E-08,
2451544.800000000, A.D. 2000-Jan-01 07:12:00.0000, -7.138254685798826E-03, -2.794515950325367E-03,  2.063173705972848E-04,  5.376781466448529E-06, -7.408536411491985E-06, -9.430113908165607E-08,
2451544.900000000, A.D. 2000-Jan-01 09:36:00.0000, -7.137716965675189E-03, -2.795256763451577E-03,  2.063079394390360E-04,  5.377620980393552E-06, -7.407726161963872E-06, -9.432202859473009E-08,
2451545.000000000, A.D. 2000-Jan-01 12:00:00.0000, -7.137179161607904E-03, -2.795997495567612E-03,  2.062985061910257E-04,  5.378460339618783E-06, -7.406916207973516E-06, -9.434293432137470E-08,
2451545.100000000, A.D. 2000-Jan-01 14:24:00.0000, -7.136641273612384E-03, -2.796738146703023E-03,  2.062890708516300E-04,  5.379299545284072E-06, -7.406106549502997E-06, -9.436385630515596E-08,
2451545.200000000, A.D. 2000-Jan-01 16:48:00.0000, -7.136103301703928E-03, -2.797478716887362E-03,  2.062796334192213E-04,  5.380138598551982E-06, -7.405297186532136E-06, -9.438479458989587E-08,
2451545.300000000, A.D. 2000-Jan-01 19:12:00.0000, -7.135565245897714E-03, -2.798219206150179E-03,  2.062701938921670E-04,  5.380977500587794E-06, -7.404488119038464E-06, -9.440574921965992E-08,
2451545.400000000, A.D. 2000-Jan-01 21:36:00.0000, -7.135027106208811E-03, -2.798959614521018E-03,  2.062607522688310E-04,  5.381816252559502E-06, -7.403679346997178E-06, -9.442672023875906E-08,
