

*******************************************************************************
Ephemeris / API_USER Fri Dec 17 03:22:30 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2001-Dec-01 00:00:00.0000 TDB
Step-size       : 7000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -1.478679470531864E-01, -4.466932510516238E-01, -2.313921354816243E-02,  2.117424562091145E-02, -7.105386389490765E-03, -2.522925269286375E-03,
2451544.600000000, A.D. 2000-Jan-01 02:24:00.0000, -1.457484788242136E-01, -4.473973074539964E-01, -2.339116411914670E-02,  2.121501377589868E-02, -6.975714127522160E-03, -2.516074247183179E-03,
2451544.700000000, A.D. 2000-Jan-01 04:48:00.0000, -1.436249653357866E-01, -4.480883883971457E-01, -2.364242601897351E-02,  2.125515079699258E-02, -6.845877465832800E-03, -2.509151866248662E-03,
2451544.800000000, A.D. 2000-Jan-01 07:12:00.0000, -1.414974697054423E-01, -4.487664775192219E-01, -2.389299211776085E-02,  2.129465659877290E-02, -6.715877965678907E-03, -2.502158246182310E-03,
2451544.900000000, A.D. 2000-Jan-01 09:36:00.0000, -1.393660550600020E-01, -4.494315586141475E-01, -2.414285529749974E-02,  2.133353108095968E-02, -6.585717181279094E-03, -2.495093504744785E-03,
2451545.000000000, A.D. 2000-Jan-01 12:00:00.0000, -1.372307845370601E-01, -4.500836156309240E-01, -2.439200845186075E-02,  2.137177412835578E-02, -6.455396660044872E-03, -2.487957757771483E-03,
2451545.100000000, A.D. 2000-Jan-01 14:24:00.0000, -1.350917212864794E-01, -4.507226326729635E-01, -2.464044448600242E-02,  2.140938561079001E-02, -6.324917942810809E-03, -2.480751119186112E-03,
2451545.200000000, A.D. 2000-Jan-01 16:48:00.0000, -1.329489284718908E-01, -4.513485939974425E-01, -2.488815631638052E-02,  2.144636538306055E-02, -6.194282564064256E-03, -2.473473701014279E-03,
2451545.300000000, A.D. 2000-Jan-01 19:12:00.0000, -1.308024692721990E-01, -4.519614840146781E-01, -2.513513687055917E-02,  2.148271328487896E-02, -6.063492052174783E-03, -2.466125613397093E-03,
2451545.400000000, A.D. 2000-Jan-01 21:36:00.0000, -1.286524068830942E-01, -4.525612872875284E-01, -2.538137908702283E-02,  2.151842914081456E-02, -5.932547929623273E-03, -2.458706964604771E-03,
