

*******************************************************************************
Ephemeris / API_USER Fri Dec 17 03:22:36 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2001-Dec-01 00:00:00.0000 TDB
Step-size       : 7000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -7.257700842628461E-01, -2.529609371887610E-02,  4.137818693791794E-02,  5.189070091302415E-04, -2.031355259141011E-02, -3.072687586355490E-04,
2451544.600000000, A.D. 2000-Jan-01 02:24:00.0000, -7.257153468696825E-01, -2.732735712246815E-02,  4.134729700672317E-02,  5.758397246883079E-04, -2.031168868235548E-02, -3.105294338087598E-04,
2451544.700000000, A.D. 2000-Jan-01 04:48:00.0000, -7.256549165514046E-01, -2.935842609622165E-02,  4.131608113787871E-02,  6.327654353647227E-04, -2.030966399957823E-02, -3.137875073069270E-04,
2451544.800000000, A.D. 2000-Jan-01 07:12:00.0000, -7.255887940313148E-01, -3.138928456426803E-02,  4.128453959284838E-02,  6.896836848898211E-04, -2.030747857337211E-02, -3.170429532080577E-04,
2451544.900000000, A.D. 2000-Jan-01 09:36:00.0000, -7.255169800783361E-01, -3.341991645383406E-02,  4.125267263568689E-02,  7.465940171346632E-04, -2.030513243534974E-02, -3.202957456162984E-04,
2451545.000000000, A.D. 2000-Jan-01 12:00:00.0000, -7.254394755069969E-01, -3.545030569537367E-02,  4.122048053303724E-02,  8.034959761149407E-04, -2.030262561844178E-02, -3.235458586621571E-04,
2451545.100000000, A.D. 2000-Jan-01 14:24:00.0000, -7.253562811774167E-01, -3.748043622269970E-02,  4.118796355412801E-02,  8.603891059948833E-04, -2.029995815689625E-02, -3.267932665027299E-04,
2451545.200000000, A.D. 2000-Jan-01 16:48:00.0000, -7.252673979952909E-01, -3.951029197311569E-02,  4.115512197077076E-02,  9.172729510911578E-04, -2.029713008627778E-02, -3.300379433218997E-04,
2451545.300000000, A.D. 2000-Jan-01 19:12:00.0000, -7.251728269118757E-01, -4.153985688754739E-02,  4.112195605735733E-02,  9.741470558767664E-04, -2.029414144346682E-02, -3.332798633305627E-04,
2451545.400000000, A.D. 2000-Jan-01 21:36:00.0000, -7.250725689239716E-01, -4.356911491067436E-02,  4.108846609085709E-02,  1.031010964984938E-03, -2.029099226665894E-02, -3.365190007668293E-04,
