

*******************************************************************************
Ephemeris / API_USER Fri Dec 17 03:22:42 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2001-Dec-01 00:00:00.0000 TDB
Step-size       : 7000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -1.756645157282301E-01,  9.659910118824405E-01,  2.022251612712026E-04, -1.722857157049219E-02, -3.015071218794761E-03, -5.861283850800270E-08,
2451544.600000000, A.D. 2000-Jan-01 02:24:00.0000, -1.773871156831884E-01,  9.656879928075607E-01,  2.022199979528783E-04, -1.722341822924935E-02, -3.045309120860635E-03, -4.466058648758463E-08,
2451544.700000000, A.D. 2000-Jan-01 04:48:00.0000, -1.791091975138586E-01,  9.653819502922903E-01,  2.022162276536268E-04, -1.721820908139954E-02, -3.075540002262638E-03, -3.075334006587876E-08,
2451544.800000000, A.D. 2000-Jan-01 07:12:00.0000, -1.808307556385974E-01,  9.650728850460011E-01,  2.022138456088933E-04, -1.721294410745761E-02, -3.105763716874864E-03, -1.689636935026379E-08,
2451544.900000000, A.D. 2000-Jan-01 09:36:00.0000, -1.825517844738635E-01,  9.647607977926836E-01,  2.022128465299356E-04, -1.720762328894823E-02, -3.135980118433009E-03, -3.094892063777994E-09,
2451545.000000000, A.D. 2000-Jan-01 12:00:00.0000, -1.842722784343177E-01,  9.644456892709630E-01,  2.022132246085051E-04, -1.720224660838933E-02, -3.166189060532839E-03,  1.064592514002072E-08,
2451545.100000000, A.D. 2000-Jan-01 14:24:00.0000, -1.859922319329218E-01,  9.641275602341104E-01,  2.022149735223255E-04, -1.719681404927666E-02, -3.196390396627942E-03,  2.432096542118594E-08,
2451545.200000000, A.D. 2000-Jan-01 16:48:00.0000, -1.877116393810355E-01,  9.638064114500603E-01,  2.022180864400736E-04, -1.719132559606974E-02, -3.226583980026799E-03,  3.792516055804378E-08,
2451545.300000000, A.D. 2000-Jan-01 19:12:00.0000, -1.894304951885119E-01,  9.634822437014229E-01,  2.022225560254625E-04, -1.718578123417886E-02, -3.256769663889305E-03,  5.145348981520530E-08,
2451545.400000000, A.D. 2000-Jan-01 21:36:00.0000, -1.911487937637924E-01,  9.631550577855000E-01,  2.022283744431689E-04, -1.718018094995349E-02, -3.286947301222786E-03,  6.490097887890559E-08,
