

*******************************************************************************
Ephemeris / API_USER Fri Dec 17 03:22:49 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2001-Dec-01 00:00:00.0000 TDB
Step-size       : 7000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  1.383221922520998E+00, -2.380174081741852E-02, -3.441183028447500E-02,  7.533013850513376E-04,  1.517888771209419E-02,  2.996589710207392E-04,
2451544.600000000, A.D. 2000-Jan-01 02:24:00.0000,  1.383296488327724E+00, -2.228384069878469E-02, -3.438184536253219E-02,  7.380148845249438E-04,  1.517911186897566E-02,  3.000394107417404E-04,
2451544.700000000, A.D. 2000-Jan-01 04:48:00.0000,  1.383369525526924E+00, -2.076591900308801E-02, -3.435182241461242E-02,  7.227292555569253E-04,  1.517931925017554E-02,  3.004194818052769E-04,
2451544.800000000, A.D. 2000-Jan-01 07:12:00.0000,  1.383441034210880E+00, -1.924797740567241E-02, -3.432176147949523E-02,  7.074445812175475E-04,  1.517950992283858E-02,  3.007991563870103E-04,
2451544.900000000, A.D. 2000-Jan-01 09:36:00.0000,  1.383511014473022E+00, -1.773001757370928E-02, -3.429166259519399E-02,  6.921608065546936E-04,  1.517968393120848E-02,  3.011784728466017E-04,
2451545.000000000, A.D. 2000-Jan-01 12:00:00.0000,  1.383579466402647E+00, -1.621204117825275E-02, -3.426152579691657E-02,  6.768779495222499E-04,  1.517984118259482E-02,  3.015574279972501E-04,
2451545.100000000, A.D. 2000-Jan-01 14:24:00.0000,  1.383646390097036E+00, -1.469404989450806E-02, -3.423135112297622E-02,  6.615961093598360E-04,  1.517998171617019E-02,  3.019359848938625E-04,
2451545.200000000, A.D. 2000-Jan-01 16:48:00.0000,  1.383711785657195E+00, -1.317604538958093E-02, -3.420113861217863E-02,  6.463152501901667E-04,  1.518010560384507E-02,  3.023141738251604E-04,
2451545.300000000, A.D. 2000-Jan-01 19:12:00.0000,  1.383775653179072E+00, -1.165802933165092E-02, -3.417088829994836E-02,  6.310353577094938E-04,  1.518021276026467E-02,  3.026920076247663E-04,
2451545.400000000, A.D. 2000-Jan-01 21:36:00.0000,  1.383837992764655E+00, -1.014000339518564E-02, -3.414060022396707E-02,  6.157565372591645E-04,  1.518030319107146E-02,  3.030694448780523E-04,
