

*******************************************************************************
Ephemeris / API_USER Fri Dec 17 03:23:23 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Pluto (999)                     {source: plu043_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2001-Dec-01 00:00:00.0000 TDB
Step-size       : 7000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -9.884006594945317E+00, -2.796081323710105E+01,  5.851020802204948E+00,  3.044353167331268E-03, -1.537314121810152E-03, -7.173186440392242E-04,
2451544.600000000, A.D. 2000-Jan-01 02:24:00.0000, -9.883702160902956E+00, -2.796096700478666E+01,  5.850949012583126E+00,  3.044311131434362E-03, -1.538051931055096E-03, -7.184647122844277E-04,
2451544.700000000, A.D. 2000-Jan-01 04:48:00.0000, -9.883397736015381E+00, -2.796112084982806E+01,  5.850877111259574E+00,  3.044170236921591E-03, -1.538859941275557E-03, -7.195508874239031E-04,
2451544.800000000, A.D. 2000-Jan-01 07:12:00.0000, -9.883093330102984E+00, -2.796127477884549E+01,  5.850805104750781E+00,  3.043931951455693E-03, -1.539730048684735E-03, -7.205667311089250E-04,
2451544.900000000, A.D. 2000-Jan-01 09:36:00.0000, -9.882788952792170E+00, -2.796142879761814E+01,  5.850733000583864E+00,  3.043598684190607E-03, -1.540653549405799E-03, -7.215024852400519E-04,
2451545.000000000, A.D. 2000-Jan-01 12:00:00.0000, -9.882484613422283E+00, -2.796158291102829E+01,  5.850660807223797E+00,  3.043173762395369E-03, -1.541621223585046E-03, -7.223491661035295E-04,
2451545.100000000, A.D. 2000-Jan-01 14:24:00.0000, -9.882180320955344E+00, -2.796173712301412E+01,  5.850588533991553E+00,  3.042661399211536E-03, -1.542623424506092E-03, -7.230986510583093E-04,
2451545.200000000, A.D. 2000-Jan-01 16:48:00.0000, -9.881876083889432E+00, -2.796189143653167E+01,  5.850516190974012E+00,  3.042066652855464E-03, -1.543650171852037E-03, -7.237437569485394E-04,
2451545.300000000, A.D. 2000-Jan-01 19:12:00.0000, -9.881571910176556E+00, -2.796204585352628E+01,  5.850443788926463E+00,  3.041395377659052E-03, -1.544691248219426E-03, -7.242783094907666E-04,
2451545.400000000, A.D. 2000-Jan-01 21:36:00.0000, -9.881267807145822E+00, -2.796220037491380E+01,  5.850371339168658E+00,  3.040654167421423E-03, -1.545736297952407E-03, -7.246972029659412E-04,
