

*******************************************************************************
Ephemeris / API_USER Fri Dec 17 03:23:30 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 25143 Itokawa (1998 SF36)       {source: JPL#212}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2001-Dec-01 00:00:00.0000 TDB
Step-size       : 7000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2453005.5 ! 2004-Jan-01.00 (TDB)         Residual RMS= .24271        
   EC= .2794658946519002   QR= .9531059209668959   TP= 2453145.4131572829      
   OM= 70.91768132290383   W=  161.0144444101509   IN= 1.727962137196433       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-5.074294445073835E-01  Y= 1.210347181843204E+00  Z= 5.548273515240010E-01
  VX=-1.112385853180295E-02 VY=-7.651333124235455E-03 VZ=-3.060140943166960E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 2.1E-9              RAD= .165               ROTPER= 12.132              
   H= 18.96                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= S(IV)                 
Asteroid non-gravitational force model (AMRAT= m^2/kg;A1,A2,A3=au/d^2;R0=au):  
   AMRAT=  0.                                                                  
   A1= 0.                  A2= -2.773143705781E-14 A3= 0.                      
 Non-standard or simulated/proxy model:                                        
   ALN=  1.            NK=  0.       NM=  2.       NN=  5.093    R0=  1.       
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  6.197683408587089E-01, -9.354728074390770E-01, -2.644666945722390E-02,  1.634981541450513E-02,  5.979015526802609E-03, -4.084489773300386E-04,
2451544.600000000, A.D. 2000-Jan-01 02:24:00.0000,  6.214026691107772E-01, -9.348739349082369E-01, -2.648748658961412E-02,  1.633674637462866E-02,  5.998429418862730E-03, -4.078936315807208E-04,
2451544.700000000, A.D. 2000-Jan-01 04:48:00.0000,  6.230356894846669E-01, -9.342731226893815E-01, -2.652824817580210E-02,  1.632365786569556E-02,  6.017809288611390E-03, -4.073380536916525E-04,
2451544.800000000, A.D. 2000-Jan-01 07:12:00.0000,  6.246674000378840E-01, -9.336703741842924E-01, -2.656895419269510E-02,  1.631054997576106E-02,  6.037155145027904E-03, -4.067822460829005E-04,
2451544.900000000, A.D. 2000-Jan-01 09:36:00.0000,  6.262977988367155E-01, -9.330656927938474E-01, -2.660960461744186E-02,  1.629742279268795E-02,  6.056466997297205E-03, -4.062262111671113E-04,
2451545.000000000, A.D. 2000-Jan-01 12:00:00.0000,  6.279268839562365E-01, -9.324590819179928E-01, -2.665019942743179E-02,  1.628427640414624E-02,  6.075744854809014E-03, -4.056699513495131E-04,
2451545.100000000, A.D. 2000-Jan-01 14:24:00.0000,  6.295546534802794E-01, -9.318505449557245E-01, -2.669073860029492E-02,  1.627111089761311E-02,  6.094988727156562E-03, -4.051134690279215E-04,
2451545.200000000, A.D. 2000-Jan-01 16:48:00.0000,  6.311811055014033E-01, -9.312400853050736E-01, -2.673122211390024E-02,  1.625792636037274E-02,  6.114198624135305E-03, -4.045567665927517E-04,
2451545.300000000, A.D. 2000-Jan-01 19:12:00.0000,  6.328062381209011E-01, -9.306277063630766E-01, -2.677164994635576E-02,  1.624472287951601E-02,  6.133374555742100E-03, -4.039998464270146E-04,
